"","age","strontium_ratio"
"1",91.785253,0.707343
"2",92.395786,0.707359
"3",93.970611,0.70741
"4",95.575768,0.707438
"5",95.602863,0.707463
"6",112.336906,0.70732
"7",112.435019,0.707316
"8",112.522509,0.707274
"9",112.60125,0.70722
"10",108.662,0.707378
"11",109.304,0.707355
"12",109.374,0.707365
"13",117.161,0.707301
"14",117.296,0.707321
"15",104.423986,0.707425
"16",104.462387,0.707447
"17",104.551577,0.707495
"18",104.701464,0.70745
"19",104.786937,0.707458
"20",104.864977,0.707468
"21",106.062838,0.707441
"22",106.097523,0.707426
"23",115.185926,0.707255
"24",115.594074,0.707247
"25",116.586296,0.707277
"26",123,0.707465
"27",101.574,0.707419
"28",114.441,0.707194
"29",115.182,0.707224
"30",115.236,0.707266
"31",115.407,0.707226
"32",115.41,0.70725
"33",118.901,0.707367
"34",119.163,0.707389
"35",117.971,0.707258
"36",117.974,0.70727
"37",118.975,0.707331
"38",98.06,0.707384
"39",98.24,0.707387
"40",99.84,0.707425
"41",100.74,0.707402
"42",101.5,0.707453
"43",102.1,0.707451
"44",102.81,0.707428
"45",104.57,0.707399
"46",105.34,0.707436
"47",106.19,0.70744
"48",106.2,0.70741
"49",106.94,0.707409
"50",107.46,0.70739
"51",107.57,0.707404
"52",108.01,0.707409
"53",108.19,0.707416
"54",108.4,0.707402
"55",108.55,0.707388
"56",108.75,0.707364
"57",108.96,0.707372
"58",108.97,0.707381
"59",109.17,0.707373
"60",109.36,0.707373
"61",109.58,0.707346
"62",109.76,0.707379
"63",109.93,0.707344
"64",110.09,0.707307
"65",110.12,0.70733
"66",110.37,0.707318
"67",110.52,0.707307
"68",110.69,0.707319
"69",110.88,0.707298
"70",111.29,0.707306
"71",111.48,0.707271
"72",111.69,0.707254
"73",111.88,0.707244
"74",112.21,0.707221
"75",112.46,0.707215
"76",112.66,0.707252
"77",112.86,0.707278
"78",118.687692,0.707374
"79",119.782308,0.707446
"80",120.192308,0.707425
"81",120.308462,0.707449
"82",120.456154,0.707454
"83",120.586923,0.70744
"84",120.992308,0.707465
"85",121.142308,0.707437
"86",121.313077,0.707459
"87",121.791538,0.707459
"88",121.873077,0.707452
"89",122.064615,0.707492
"90",122.334615,0.707483
"91",122.410769,0.707446
"92",122.517692,0.707464
"93",122.712308,0.707453
"94",93.071588,0.707352
"95",93.09821,0.707372
"96",93.130313,0.707386
"97",93.163199,0.707382
"98",93.187472,0.707382
"99",93.19217,0.707396
"100",93.2,0.707432
"101",93.823266,0.707447
"102",93.850671,0.707436
"103",93.929754,0.707462
"104",94.011969,0.707471
"105",94.047204,0.707378
"106",94.087919,0.707367
